NDIP,GCT,EARB,Difference,GCt_EARB,GCT(%),EARB(%),Difference(%),DAR,Actual,Ideal,Difference
31,127758,542242,414484,670000,19.07%,80.93%,61.86%,131.57,4.2443,1.2723,2.9720
31,125033,529108,404075,654141,19.11%,80.89%,61.77%,131.18,4.2317,1.2723,2.9595
31,1381,5277,3896,6658,20.74%,79.26%,58.52%,118.45,3.8211,1.2723,2.5489
31,43901,154765,110865,198666,22.10%,77.90%,55.80%,109.29,3.5253,1.2723,2.2531
31,28908,82995,54087,111903,25.83%,74.17%,48.33%,89.00,2.8710,1.2723,1.5988
31,32946,89013,56066,121959,27.01%,72.99%,45.97%,83.75,2.7017,1.2723,1.4295
31,45560,121787,76227,167347,27.22%,72.78%,45.55%,82.87,2.6731,1.2723,1.4009
31,2928,7815,4887,10743,27.26%,72.74%,45.49%,82.74,2.6690,1.2723,1.3968
31,153094,398163,245069,551257,27.77%,72.23%,44.46%,80.62,2.6008,1.2723,1.3285
31,42899,108935,66036,151834,28.25%,71.75%,43.49%,78.72,2.5393,1.2723,1.2671
31,89230,206951,117721,296181,30.13%,69.87%,39.75%,71.90,2.3193,1.2723,1.0470
31,130485,300126,169641,430611,30.30%,69.70%,39.40%,71.30,2.3001,1.2723,1.0278
31,137805,289783,151978,427587,32.23%,67.77%,35.54%,65.19,2.1029,1.2723,0.8306
31,120743,227615,106872,348358,34.66%,65.34%,30.68%,58.44,1.8851,1.2723,0.6129
31,206904,388885,181981,595789,34.73%,65.27%,30.54%,58.27,1.8795,1.2723,0.6073
31,56126,103680,47554,159806,35.12%,64.88%,29.76%,57.27,1.8473,1.2723,0.5750
31,120584,222249,101665,342833,35.17%,64.83%,29.65%,57.14,1.8431,1.2723,0.5708
31,80021,146485,66464,226506,35.33%,64.67%,29.34%,56.75,1.8306,1.2723,0.5583
31,137957,229361,91403,367318,37.56%,62.44%,24.88%,51.54,1.6625,1.2723,0.3903
31,123654,204228,80574,327882,37.71%,62.29%,24.57%,51.20,1.6516,1.2723,0.3793
31,60459,98434,37975,158894,38.05%,61.95%,23.90%,50.47,1.6281,1.2723,0.3559
31,69961,112260,42299,182221,38.39%,61.61%,23.21%,49.74,1.6046,1.2723,0.3324
31,129020,206249,77229,335268,38.48%,61.52%,23.03%,49.56,1.5986,1.2723,0.3263
31,103318,164347,61030,267665,38.60%,61.40%,22.80%,49.31,1.5907,1.2723,0.3184
31,245929,390164,144235,636094,38.66%,61.34%,22.68%,49.18,1.5865,1.2723,0.3142
31,261602,414991,153389,676593,38.66%,61.34%,22.67%,49.18,1.5863,1.2723,0.3141
31,57337,90657,33320,147994,38.74%,61.26%,22.51%,49.01,1.5811,1.2723,0.3089
31,284012,446672,162660,730684,38.87%,61.13%,22.26%,48.75,1.5727,1.2723,0.3005
31,47098,73051,25953,120149,39.20%,60.80%,21.60%,48.08,1.5511,1.2723,0.2788
31,357245,549179,191934,906423,39.41%,60.59%,21.17%,47.66,1.5373,1.2723,0.2650
31,91282,134572,43291,225854,40.42%,59.58%,19.17%,45.70,1.4743,1.2723,0.2020
31,123317,179967,56650,303283,40.66%,59.34%,18.68%,45.24,1.4594,1.2723,0.1871
31,55432,80201,24770,135633,40.87%,59.13%,18.26%,44.85,1.4469,1.2723,0.1746
31,433612,625487,191875,1059099,40.94%,59.06%,18.12%,44.72,1.4425,1.2723,0.1702
31,83024,119609,36585,202633,40.97%,59.03%,18.05%,44.66,1.4407,1.2723,0.1684
31,551434,793250,241817,1344684,41.01%,58.99%,17.98%,44.59,1.4385,1.2723,0.1663
31,464679,662061,197382,1126740,41.24%,58.76%,17.52%,44.17,1.4248,1.2723,0.1525
31,83437,118772,35336,202209,41.26%,58.74%,17.47%,44.13,1.4235,1.2723,0.1512
31,114084,155337,41253,269420,42.34%,57.66%,15.31%,42.21,1.3616,1.2723,0.0893
31,3660,4965,1305,8625,42.43%,57.57%,15.13%,42.06,1.3567,1.2723,0.0844
31,122213,163239,41026,285452,42.81%,57.19%,14.37%,41.41,1.3357,1.2723,0.0634
31,69938,93087,23149,163025,42.90%,57.10%,14.20%,41.26,1.3310,1.2723,0.0587
31,74616,98767,24152,173383,43.04%,56.96%,13.93%,41.03,1.3237,1.2723,0.0514
31,528794,698294,169500,1227089,43.09%,56.91%,13.81%,40.94,1.3205,1.2723,0.0483
31,161482,212979,51497,374462,43.12%,56.88%,13.75%,40.89,1.3189,1.2723,0.0466
31,12145,16003,3858,28148,43.15%,56.85%,13.71%,40.85,1.3177,1.2723,0.0454
31,11532,14967,3435,26499,43.52%,56.48%,12.96%,40.23,1.2978,1.2723,0.0256
31,85611,110829,25218,196440,43.58%,56.42%,12.84%,40.13,1.2946,1.2723,0.0223
31,198655,253977,55322,452632,43.89%,56.11%,12.22%,39.63,1.2785,1.2724,0.0061
31,320000,407150,87150,727150,44.01%,55.99%,11.99%,39.44,1.2723,1.2724,-0.0001
31,321346,408289,86942,729635,44.04%,55.96%,11.92%,39.39,1.2706,1.2723,-0.0017
31,348655,433131,84476,781786,44.60%,55.40%,10.81%,38.51,1.2423,1.2723,-0.0300
31,107180,129462,22283,236642,45.29%,54.71%,9.42%,37.44,1.2079,1.2723,-0.0644
31,464530,559796,95266,1024327,45.35%,54.65%,9.30%,37.36,1.2051,1.2723,-0.0672
31,76001,91092,15091,167093,45.48%,54.52%,9.03%,37.16,1.1986,1.2723,-0.0737
31,89321,106997,17676,196318,45.50%,54.50%,9.00%,37.13,1.1979,1.2723,-0.0744
31,153991,182771,28780,336762,45.73%,54.27%,8.55%,36.79,1.1869,1.2724,-0.0855
31,336328,397749,61421,734077,45.82%,54.18%,8.37%,36.66,1.1826,1.2723,-0.0896
31,169094,199849,30755,368943,45.83%,54.17%,8.34%,36.64,1.1819,1.2724,-0.0905
31,169094,199849,30755,368944,45.83%,54.17%,8.34%,36.64,1.1819,1.2723,-0.0904
31,114620,130662,16042,245282,46.73%,53.27%,6.54%,35.34,1.1400,1.2723,-0.1323
31,168807,191674,22867,360482,46.83%,53.17%,6.34%,35.20,1.1355,1.2723,-0.1368
31,196035,222562,26527,418596,46.83%,53.17%,6.34%,35.19,1.1353,1.2723,-0.1369
31,97411,109599,12188,207010,47.06%,52.94%,5.89%,34.88,1.1251,1.2723,-0.1471
31,230503,257397,26894,487900,47.24%,52.76%,5.51%,34.62,1.1167,1.2723,-0.1556
31,117065,127941,10876,245006,47.78%,52.22%,4.44%,33.88,1.0929,1.2723,-0.1793
31,163799,178051,14252,341850,47.92%,52.08%,4.17%,33.70,1.0870,1.2724,-0.1854
31,163799,178051,14252,341851,47.92%,52.08%,4.17%,33.70,1.0870,1.2723,-0.1853
31,156975,169634,12659,326609,48.06%,51.94%,3.88%,33.50,1.0806,1.2723,-0.1916
31,126145,136038,9893,262183,48.11%,51.89%,3.77%,33.43,1.0784,1.2723,-0.1938
31,171237,182953,11717,354190,48.35%,51.65%,3.31%,33.12,1.0684,1.2723,-0.2038
31,163827,174387,10560,338214,48.44%,51.56%,3.12%,33.00,1.0645,1.2723,-0.2078
31,163610,173193,9583,336804,48.58%,51.42%,2.85%,32.82,1.0586,1.2723,-0.2137
31,6919,7318,399,14237,48.60%,51.40%,2.80%,32.79,1.0576,1.2723,-0.2146
31,173055,182775,9720,355830,48.63%,51.37%,2.73%,32.74,1.0562,1.2723,-0.2161
31,191234,201520,10286,392754,48.69%,51.31%,2.62%,32.67,1.0538,1.2723,-0.2185
31,189397,196024,6627,385421,49.14%,50.86%,1.72%,32.08,1.0350,1.2723,-0.2373
31,108887,111873,2986,220760,49.32%,50.68%,1.35%,31.85,1.0274,1.2723,-0.2448
31,161162,165121,3959,326283,49.39%,50.61%,1.21%,31.76,1.0246,1.2723,-0.2477
31,70743,71014,272,141757,49.90%,50.10%,0.19%,31.12,1.0038,1.2723,-0.2684
31,570685,570457,228,1141142,50.01%,49.99%,0.02%,30.99,0.9996,1.2723,-0.2727
31,135522,132827,2695,268349,50.50%,49.50%,1.00%,30.38,0.9801,1.2723,-0.2921
31,189971,185455,4516,375426,50.60%,49.40%,1.20%,30.26,0.9762,1.2723,-0.2960
31,166445,157523,8922,323968,51.38%,48.62%,2.75%,29.34,0.9464,1.2723,-0.3259
31,720870,655406,65464,1376276,52.38%,47.62%,4.76%,28.18,0.9092,1.2723,-0.3631
31,737481,663472,74009,1400953,52.64%,47.36%,5.28%,27.89,0.8996,1.2723,-0.3726
31,662433,592774,69658,1255207,52.77%,47.23%,5.55%,27.74,0.8948,1.2723,-0.3774
31,325982,288433,37549,614415,53.06%,46.94%,6.11%,27.43,0.8848,1.2723,-0.3874
